rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
26,45000,Zhang Yiming,39.0,Technology,China,True,M,1984.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
27,42900,Dieter Schwarz,83.0,Fashion & Retail,Germany,False,M,1939.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
28,40100,François Pinault & family,86.0,Fashion & Retail,France,True,M,1936.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
29,39100,Klaus-Michael Kuehne,85.0,Logistics,Germany,False,M,1937.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
30,38900,Giovanni Ferrero,58.0,Food & Beverage,Italy,False,M,1964.0,"$529,606,710,418 ",81.6,55.4,11484055.0,50.503887,4.469936
31,38300,Jacqueline Mars,83.0,Food & Beverage,United States,False,F,1939.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
31,38300,John Mars,87.0,Food & Beverage,United States,False,M,1935.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
34,35300,Ma Huateng,51.0,Technology,China,True,M,1971.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
35,35000,Miriam Adelson & family,77.0,Gambling & Casinos,United States,False,F,1945.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
35,35000,Ken Griffin,54.0,Finance & Investments,United States,True,M,1968.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
37,34700,Mark Mateschitz,30.0,Food & Beverage,Austria,False,M,1992.0,"$446,314,739,528 ",81.6,51.4,8877067.0,47.516231,14.550072
38,33400,Robin Zeng,54.0,Automotive,Hong Kong,True,M,1969.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
39,32600,Tadashi Yanai & family,74.0,Fashion & Retail,Japan,True,M,1949.0,"$5,081,769,542,380 ",84.2,46.7,126226568.0,36.204824,138.252924
40,32100,Len Blavatnik,65.0,Diversified,United States,True,M,1957.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
41,31600,Alain Wertheimer,74.0,Fashion & Retail,France,False,M,1948.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
41,31600,Gerard Wertheimer,72.0,Fashion & Retail,France,False,M,1951.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
43,31200,Gianluigi Aponte,82.0,Logistics,Switzerland,True,M,1940.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
43,31200,Rafaela Aponte-Diamant,78.0,Logistics,Switzerland,True,F,1945.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
45,30200,Colin Zheng Huang,43.0,Technology,China,True,M,1980.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
46,29700,Reinhold Wuerth & family,87.0,Manufacturing,Germany,True,M,1935.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
48,28500,Jeff Yass,64.0,Finance & Investments,United States,True,M,1958.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
49,28100,Jim Simons,84.0,Finance & Investments,United States,True,M,1938.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
50,27800,Stephen Schwarzman,76.0,Finance & Investments,United States,True,M,1947.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
51,27400,Susanne Klatten,60.0,Automotive,Germany,False,F,1962.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
52,27000,Gina Rinehart,69.0,Metals & Mining,Australia,False,F,1954.0,"$1,392,680,589,329 ",82.7,47.4,25766605.0,-25.274398,133.775136
53,26700,William Ding,51.0,Technology,China,True,M,1971.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
54,26600,Germán Larrea Mota Velasco & family,69.0,Metals & Mining,Mexico,False,M,1953.0,"$1,258,286,717,125 ",75.0,55.1,126014024.0,23.634501,-102.552784
55,25600,Shiv Nadar,77.0,Technology,India,True,M,1945.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
56,25500,Low Tuck Kwong,74.0,Energy,Indonesia,True,M,1948.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
57,25300,Thomas Peterffy,78.0,Finance & Investments,United States,True,M,1944.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
58,25200,Andrey Melnichenko & family,51.0,Metals & Mining,Russia,True,M,1972.0,"$421,142,267,938 ",77.8,15.9,9770529.0,23.424076,53.847818
59,24600,Stefan Quandt,56.0,Automotive,Germany,False,M,1966.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
60,24400,MacKenzie Scott,52.0,Technology,United States,False,F,1970.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
61,24200,R. Budi Hartono,82.0,Finance & Investments,Indonesia,False,M,1941.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
62,23700,Vladimir Potanin,62.0,Metals & Mining,Russia,True,M,1961.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
63,23500,Jack Ma,58.0,Technology,China,True,M,1964.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
64,23400,He Xiangjian & family,80.0,Manufacturing,China,True,M,1942.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
65,23100,Iris Fontbona & family,80.0,Metals & Mining,Chile,False,F,1943.0,"$282,318,159,745 ",80.0,34.0,18952038.0,-35.675147,-71.542969
